Gene_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	species_taxid	Source
MGYG-HGUT-01419	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	NA	Timonella	Timonella senegalensis	NA	1465825	MGYG
MGYG-HGUT-01422	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides oleiciplenus	NA	626931	MGYG
MGYG-HGUT-01423	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium celatum	NA	36834	MGYG
MGYG-HGUT-01424	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus senegalensis	NA	1288120	MGYG
MGYG-HGUT-01425	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus senegalensis	NA	1465757	MGYG
MGYG-HGUT-01426	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Phytobacter	Phytobacter massiliensis	NA	1485952	MGYG
MGYG-HGUT-01427	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma massiliensis	NA	1472761	MGYG
MGYG-HGUT-01701	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium afermentans	NA	38286	MGYG
MGYG-HGUT-01435	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium amycolatum	NA	43765	MGYG
MGYG-HGUT-01437	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus schleiferi	NA	1295	MGYG
MGYG-HGUT-01443	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces albus	NA	1888	MGYG
